  QueueTimes | ServiceTimes | SojournTimes
   35643.324 |     1120.045 |    36763.369
   33947.369 |     1207.128 |    35154.496
   34537.625 |      651.556 |    35189.181
   34106.507 |     2003.534 |    36110.040
   35179.676 |     1342.117 |    36521.792
   36358.920 |      728.620 |    37087.540
   36666.346 |      726.833 |    37393.179
   36653.459 |     1220.278 |    37873.737
   37858.784 |      765.789 |    38624.573
   37594.721 |      692.184 |    38286.905
   35787.811 |      489.184 |    36276.995
   32767.648 |      915.049 |    33682.697
   31825.083 |      943.245 |    32768.328
   32160.102 |     1147.867 |    33307.968
   33285.764 |     1057.644 |    34343.408
   33116.127 |     1053.574 |    34169.701
   33595.983 |     1127.462 |    34723.445
   33330.388 |      438.180 |    33768.568
   32579.006 |      500.094 |    33079.100
   31677.338 |      563.765 |    32241.103
   32236.995 |     2690.834 |    34927.829
   34844.648 |     1144.701 |    35989.349
   33653.305 |      957.405 |    34610.710
   33237.727 |      252.035 |    33489.762
   33483.506 |     1164.765 |    34648.271
   33917.581 |     1671.174 |    35588.754
   34803.535 |      203.303 |    35006.838
   34763.825 |      401.825 |    35165.650
   34179.967 |     1362.885 |    35542.852
   34307.436 |      922.866 |    35230.302
   34901.522 |     2353.821 |    37255.342
   36790.401 |     1712.124 |    38502.524
   38131.373 |     3139.337 |    41270.710
   41161.241 |     2487.546 |    43648.787
   42153.359 |     3119.745 |    45273.105
   45216.346 |     1027.714 |    46244.060
   46069.468 |      462.914 |    46532.382
   46180.066 |     1331.385 |    47511.451
   46861.845 |      419.620 |    47281.465
   46547.654 |     1565.752 |    48113.406
   47950.621 |      887.280 |    48837.901
   47044.146 |      459.155 |    47503.300
   46641.183 |     1177.172 |    47818.355
   47416.227 |      302.105 |    47718.332
   43384.575 |     1003.408 |    44387.983
   44386.486 |     1662.215 |    46048.701
   46018.982 |      667.074 |    46686.057
   46013.536 |     1534.171 |    47547.708
   46204.795 |     1868.597 |    48073.391
   47305.062 |     1100.881 |    48405.943
   48275.378 |     1464.263 |    49739.641
   49531.162 |     1335.473 |    50866.635
   49914.514 |     1319.629 |    51234.143
   51099.659 |     1044.808 |    52144.467
   49064.843 |      413.348 |    49478.191
   47657.529 |      892.933 |    48550.462
   48250.791 |      641.526 |    48892.317
   48340.196 |     1012.073 |    49352.269
   47070.443 |      625.643 |    47696.086
   46266.514 |     1122.055 |    47388.568
   46787.487 |     1263.906 |    48051.393
   46956.349 |      313.701 |    47270.050
   47034.995 |     1027.903 |    48062.897
   47271.208 |     1636.155 |    48907.363
   48713.982 |     1090.460 |    49804.442
   49239.098 |     1540.761 |    50779.860
   49617.071 |      251.889 |    49868.960
   48059.912 |     1016.141 |    49076.053
   45451.376 |     1982.735 |    47434.111
   47350.423 |      189.913 |    47540.336
   46073.208 |      657.753 |    46730.961
   46443.187 |     1529.208 |    47972.395
   46506.702 |     2351.253 |    48857.955
   47474.762 |      839.919 |    48314.681
   47170.130 |     1846.518 |    49016.648
   48979.708 |      705.401 |    49685.109
   49434.610 |     1096.207 |    50530.817
   49473.603 |     1597.463 |    51071.066
   50606.822 |     1130.113 |    51736.935
   51470.875 |     1196.615 |    52667.490
