xapian_ipc,xapian_cpu,xapian_llc,xapian_sla
0.47,100000,9,0.19392802668864695
0.46,100000,9,0.1935712106754588
0.49,100000,9,0.19642848427018353
0.47,100000,9,0.19557139370807342
0.46,100000,9,0.1942285574832294
0.46,100000,9,0.19369142299329178
0.47,100000,9,0.1944765691973167
0.45,100000,9,0.1927906276789267
0.47,100000,9,0.1941162510715707
0.45,100000,9,0.1926465004286283
0.47,100000,9,0.19405860017145132
0.43,100000,9,0.19062344006858054
0.49,100000,9,0.19524937602743223
0.47,100000,9,0.19509975041097288
0.43,100000,9,0.19103990016438918
