xapian_ipc,xapian_cpu,xapian_llc,xapian_sla,mcf_ipc,mcf_cpu,mcf_llc,mcf_sla
0.22,100000,9,0.21198263659322114,0.45,67920,4,0.058228771665442346
0.21,100000,9,0.21079305463728848,0.36,67920,4,0.05929150866617694
0.21,100000,9,0.21031722185491541,0.16,67920,3,0.03971660346647078
0.23,100000,9,0.21212688874196617,0.15,67920,2,0.030886641386588313
0.24,100000,9,0.21385075549678645,0.18,67920,3,0.030354656554635324
0.23,100000,9,0.2135403021987146,0.19,67920,3,0.031141862621854133
0.24,100000,9,0.21441612087948586,0.20,67920,3,0.03245674504874166
0.22,100000,9,0.21276644835179437,0.30,67920,4,0.04298269801949666
0.22,100000,9,0.21210657934071775,0.17,67920,4,0.03419307920779867
0.22,100000,9,0.2118426317362871,0.15,67920,4,0.028677231683119468
0.21,100000,9,0.21073705269451484,0.20,67920,4,0.03147089267324779
0.24,100000,9,0.21329482107780595,0.07,67920,3,0.019588357069299116
0.37,100000,9,0.22731792843112236,0.13,67920,3,0.02083534282771965
0.23,100000,9,0.21892717137244894,0.33,67920,3,0.04133413713108786
0.25,100000,9,0.21757086854897956,0.23,67920,4,0.03953365485243515
0.24,100000,9,0.21602834741959182,0.22,67920,4,0.03781346194097406
0.24,100000,9,0.2154113389678367,0.21,67920,4,0.03612538477638963
0.22,100000,9,0.2131645355871347,0.20,67920,4,0.03445015391055586
0.22,100000,9,0.21226581423485388,0.13,67920,4,0.026780061564222343
0.23,100000,9,0.21290632569394158,0.13,67920,4,0.02371202462568894
0.23,100000,9,0.21316253027757665,0.13,67920,4,0.022484809850275577
0.21,100000,9,0.21126501211103066,0.14,67920,4,0.022993923940110232
0.23,100000,9,0.2125060048444123,0.13,67920,3,0.022197569576044095
0.23,100000,9,0.21300240193776493,0.13,67920,3,0.02187902783041764
0.23,100000,9,0.21320096077510597,0.13,67920,4,0.02175161113216706
0.22,100000,9,0.2122803843100424,0.13,67920,4,0.021700644452866825
0.22,100000,9,0.21191215372401695,0.13,67920,4,0.021680257781146732
0.22,100000,9,0.21176486148960677,0.15,67920,5,0.023672103112458695
0.24,100000,9,0.2137059445958427,0.17,67920,5,0.026468841244983478
0.23,100000,9,0.21348237783833707,0.18,67920,5,0.02858753649799339
0.22,100000,9,0.21239295113533485,0.23,74712,5,0.03443501459919736
0.11,100000,9,0.20095718045413394,0.59,74712,5,0.07277400583967894
0.21,100000,9,0.20638287218165358,0.39,74712,4,0.06810960233587159
0.21,100000,9,0.20855314887266144,0.14,74712,4,0.04124384093434864
0.22,100000,9,0.2104212595490646,0.15,74712,5,0.031497536373739456
0.21,100000,9,0.21016850381962585,0.15,74712,5,0.02759901454949578
0.21,100000,9,0.21006740152785036,0.14,74712,4,0.025039605819798316
0.21,100000,9,0.21002696061114015,0.14,74712,3,0.02401584232791933
0.22,100000,9,0.21101078424445607,0.15,74712,2,0.024606336931167733
0.23,100000,9,0.21240431369778245,0.15,74712,2,0.024842534772467093
0.22,100000,9,0.211961725479113,0.16,74712,3,0.02593701390898684
0.22,100000,9,0.2117846901916452,0.16,74712,3,0.026374805563594735
0.21,100000,9,0.2107138760766581,0.17,74712,3,0.027549922225437895
0.21,100000,9,0.21028555043066324,0.18,74712,2,0.029019968890175156
0.23,100000,9,0.2121142201722653,0.30,67240,2,0.041607987556070064
0.22,100000,9,0.21184568806890614,0.46,67240,3,0.06264319502242803
0.22,100000,9,0.21173827522756244,0.15,67240,3,0.040057278008971214
0.24,100000,9,0.213695310091025,0.15,67240,3,0.031022911203588487
0.23,100000,9,0.21347812403641,0.15,67240,3,0.027409164481435395
0.23,100000,9,0.21339124961456402,0.15,67240,3,0.025963665792574156
0.24,100000,9,0.2143564998458256,0.17,67240,3,0.027385466317029664
0.22,100000,9,0.21274259993833025,0.20,67240,3,0.03095418652681187
0.22,100000,9,0.2120970399753321,0.45,67240,3,0.057381674610724756
0.23,100000,9,0.21283881599013285,0.37,67240,3,0.0599526698442899
0.22,100000,9,0.21213552639605315,0.15,67240,4,0.03898106793771596
0.23,100000,9,0.21285421055842127,0.14,67240,4,0.029592427175086387
0.23,100000,9,0.21314168422336852,0.15,67240,4,0.026836970870034553
0.22,100000,9,0.21225667368934742,0.18,67240,5,0.02873478834801382
0.24,100000,9,0.213902669475739,0.19,67240,5,0.03049391533920553
0.22,100000,9,0.2125610677902956,0.20,67240,5,0.03219756613568222
0.23,100000,9,0.21302442711611824,0.39,67240,5,0.05187902645427289
0.24,100000,9,0.21420977084644732,0.14,67240,5,0.034751610581709155
0.23,100000,9,0.21368390833857892,0.16,67240,5,0.02990064423268366
0.22,100000,9,0.21247356333543158,0.21,73964,5,0.032960257693073466
0.23,100000,9,0.21298942533417264,0.04,73964,5,0.01718410307722939
0.43,100000,9,0.23319577013366904,0.22,73964,5,0.02887364123089176
0.21,100000,9,0.21927830805346762,0.44,81360,5,0.05554945649235671
0.19,100000,9,0.21171132322138705,0.28,81360,4,0.05021978259694269
0.20,100000,9,0.20968452928855483,0.25,81360,3,0.04508791303877708
0.22,100000,9,0.21087381171542194,0.15,81360,2,0.03303516521551084
0.21,100000,9,0.2103495246861688,0.14,81360,2,0.027214066086204337
0.23,100000,9,0.2121398098744675,0.13,73224,2,0.023885626434481735
0.21,100000,9,0.21085592394978703,0.13,73224,2,0.022554250573792695
0.22,100000,9,0.2113423695799148,0.12,65901,2,0.021021700229517076
0.22,100000,9,0.21153694783196592,0.13,65901,3,0.021408680091806832
0.24,100000,9,0.21361477913278637,0.13,65901,3,0.021563472036722736
0.24,100000,9,0.21444591165311455,0.13,65901,3,0.021625388814689096
0.22,100000,9,0.21277836466124583,0.14,65901,4,0.02265015552587564
0.23,100000,9,0.21311134586449834,0.14,65901,4,0.023060062210350257
0.22,100000,9,0.21224453834579934,0.16,65901,4,0.025224024884140106
0.23,100000,9,0.21289781533831975,0.16,65901,4,0.026089609953656043
0.23,100000,9,0.2131591261353279,0.22,65901,4,0.03243584398146242
0.22,100000,9,0.21226365045413115,0.44,65901,4,0.056974337592584974
0.23,100000,9,0.21290546018165246,0.48,65901,5,0.070789735037034
0.24,100000,9,0.21416218407266097,0.16,65901,5,0.0443158940148136
0.23,100000,9,0.2136648736290644,0.15,65901,5,0.032726357605925446
0.22,100000,9,0.21246594945162578,0.15,72491,5,0.02809054304237018
0.21,100000,9,0.21098637978065032,0.15,72491,5,0.02623621721694807
0.23,100000,9,0.21239455191226014,0.14,72491,4,0.02449448688677923
0.22,100000,9,0.21195782076490405,0.15,72491,4,0.024797794754711694
0.22,100000,9,0.21178312830596163,0.15,72491,5,0.024919117901884676
0.23,100000,9,0.21271325132238467,0.16,72491,5,0.025967647160753872
0.22,100000,9,0.21208530052895386,0.16,72491,5,0.026387058864301552
0.20,100000,9,0.20983412021158154,0.18,79740,5,0.02855482354572062
0.21,100000,9,0.2099336480846326,0.20,79740,4,0.03142192941828825
0.20,100000,9,0.20897345923385305,0.30,79740,4,0.0425687717673153
0.21,100000,9,0.20958938369354124,0.48,79740,3,0.06502750870692613
0.22,100000,9,0.2108357534774165,0.15,79740,3,0.04101100348277045
0.21,100000,9,0.2103343013909666,0.16,79740,4,0.032404401393108184
0.20,100000,9,0.20913372055638663,0.16,79740,3,0.028961760557243275
0.19,100000,9,0.20765348822255464,0.19,79740,2,0.030584704222897316
0.23,100000,9,0.21106139528902185,0.21,71766,2,0.03323388168915893
0.23,100000,9,0.21242455811560873,0.44,71766,2,0.05729355267566358
0.23,100000,9,0.2129698232462435,0.37,71766,2,0.05991742107026543
0.24,100000,9,0.2141879292984974,0.15,71766,3,0.03896696842810617
0.22,100000,9,0.21267517171939898,0.15,71766,3,0.03058678737124247
0.21,100000,9,0.2110700686877596,0.16,71766,3,0.02823471494849699
0.23,100000,9,0.21242802747510386,0.19,71766,2,0.030293885979398798
0.23,100000,9,0.21297121099004157,0.20,71766,3,0.03211755439175952
0.21,100000,9,0.21118848439601662,0.31,71766,3,0.04384702175670381
0.22,100000,9,0.21147539375840665,0.20,71766,2,0.03753880870268153
0.20,100000,9,0.20959015750336268,0.15,71766,2,0.030015523481072615
0.23,100000,9,0.21183606300134508,0.17,64589,2,0.029006209392429046
0.25,100000,9,0.21473442520053804,0.20,64589,3,0.031602483756971625
0.45,100000,9,0.23589377008021523,0.19,64589,3,0.03164099350278865
0.26,100000,9,0.2253575080320861,0.22,64589,3,0.034656397401115466
0.22,100000,9,0.21714300321283445,0.24,64589,4,0.037862558960446185
0.23,100000,9,0.2148572012851338,0.22,64589,3,0.037145023584178476
0.23,100000,9,0.21394288051405352,0.22,64589,3,0.036858009433671395
0.23,100000,9,0.2135771522056214,0.20,64589,3,0.03474320377346856
0.23,100000,9,0.21343086088224855,0.20,64589,4,0.03389728150938743
0.23,100000,9,0.21337234435289942,0.14,64589,4,0.027558912603754974
0.23,100000,9,0.21334893774115976,0.14,64589,4,0.025023565041501994
0.20,100000,9,0.2103395750964639,0.14,64589,4,0.0240094260166008
0.23,100000,9,0.21213583003858555,0.14,64589,3,0.02360377040664032
0.24,100000,9,0.21385433201543425,0.14,64589,3,0.02344150816265613
0.23,100000,9,0.21354173280617372,0.14,64589,3,0.023376603265062454
0.23,100000,9,0.2134166931224695,0.14,64589,4,0.02335064130602498
0.23,100000,9,0.2133666772489878,0.14,64589,4,0.023340256522409994
0.24,100000,9,0.21434667089959514,0.15,64589,4,0.024336102608963996
0.23,100000,9,0.21373866835983807,0.17,64589,5,0.026734441043585598
0.22,100000,9,0.21249546734393523,0.19,64589,5,0.029693776417434245
0.25,100000,9,0.2149981869375741,0.22,64589,5,0.033877510566973704
0.24,100000,9,0.21499927477502967,0.51,64589,5,0.06455100422678949
0.23,100000,9,0.21399970991001188,0.48,64589,5,0.0738204016907158
0.23,100000,9,0.21359988396400476,0.16,64589,5,0.04552816067628632
0.23,100000,9,0.21343995358560192,0.16,64589,5,0.03421126427051453
0.24,100000,9,0.21437598143424075,0.16,64589,5,0.029684505708205813
